Date,Open,High,Low,Close,Adj_Close,Volume,Coin_name
2022-08-09,10.07,10.07,10.07,10.07,10.07,0,Tron
2022-08-10,10.07,10.07,10.07,10.07,10.07,100,Tron
2022-08-11,10.07,10.07,10.07,10.07,10.07,100,Tron
2022-08-12,10.07,10.07,10.07,10.07,10.07,0,Tron
2022-08-15,10.07,10.07,10.07,10.07,10.07,0,Tron
2022-08-16,10.1,10.1,10.1,10.1,10.1,200,Tron
2022-08-17,10.1,10.1,10.1,10.1,10.1,0,Tron
2022-08-18,10.1,10.1,10.1,10.1,10.1,0,Tron
2022-08-19,10.1,10.1,10.1,10.1,10.1,0,Tron
2022-08-22,10.11,10.11,10.11,10.11,10.11,200,Tron
2022-08-23,10.11,10.11,10.11,10.11,10.11,100,Tron
2022-08-24,10.11,10.11,10.11,10.11,10.11,0,Tron
2022-08-25,10.11,10.11,10.11,10.11,10.11,0,Tron
2022-08-26,10.11,10.11,10.11,10.11,10.11,0,Tron
2022-08-29,10.11,10.11,10.11,10.11,10.11,0,Tron
2022-08-30,10.11,10.11,10.11,10.11,10.11,0,Tron
2022-08-31,10.11,10.11,10.11,10.11,10.11,0,Tron
2022-09-01,10.11,10.11,10.11,10.11,10.11,0,Tron
2022-09-02,10.11,10.11,10.11,10.11,10.11,100,Tron
2022-09-06,10.03,10.03,10.03,10.03,10.03,300,Tron
2022-09-07,10.03,10.03,10.03,10.03,10.03,0,Tron
2022-09-08,10.03,10.03,10.03,10.03,10.03,0,Tron
2022-09-09,10.03,10.03,10.03,10.03,10.03,0,Tron
2022-09-12,10.03,10.03,10.03,10.03,10.03,0,Tron
2022-09-13,10.03,10.03,10.03,10.03,10.03,0,Tron
2022-09-14,10.03,10.03,10.03,10.03,10.03,0,Tron
2022-09-15,10.03,10.03,10.03,10.03,10.03,0,Tron
2022-09-16,10.03,10.03,10.03,10.03,10.03,0,Tron
2022-09-19,10.03,10.03,10.03,10.03,10.03,0,Tron
2022-09-20,10.03,10.03,10.03,10.03,10.03,0,Tron
2022-09-21,10.03,10.03,10.03,10.03,10.03,0,Tron
2022-09-22,10.03,10.03,10.03,10.03,10.03,0,Tron
2022-09-23,10.03,10.03,10.03,10.03,10.03,0,Tron
2022-09-26,10.03,10.03,10.03,10.03,10.03,0,Tron
2022-09-27,10.08,10.1,10.08,10.1,10.1,50000,Tron
2022-09-28,10.12,10.12,10.12,10.12,10.12,200,Tron
2022-09-29,10.12,10.12,10.12,10.12,10.12,0,Tron
2022-09-30,10.12,10.12,10.12,10.12,10.12,26100,Tron
2022-10-03,10.12,10.12,10.12,10.12,10.12,0,Tron
2022-10-04,10.11,10.11,10.109,10.11,10.11,11200,Tron
2022-10-05,10.11,10.11,10.11,10.11,10.11,0,Tron
2022-10-06,10.11,10.11,10.11,10.11,10.11,0,Tron
2022-10-07,10.11,10.11,10.11,10.11,10.11,0,Tron
2022-10-10,10.11,10.11,10.11,10.11,10.11,0,Tron
2022-10-11,10.11,10.11,10.11,10.11,10.11,0,Tron
2022-10-12,10.11,10.11,10.11,10.11,10.11,100,Tron
2022-10-13,10.11,10.11,10.11,10.11,10.11,100,Tron
2022-10-14,10.14,10.14,10.14,10.14,10.14,300,Tron
2022-10-17,10.14,10.14,10.14,10.14,10.14,0,Tron
2022-10-18,10.13,10.13,10.12,10.13,10.13,11900,Tron
